Feature Selection,Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1-Score,Test_Accuracy,Test_Precision,Test_Recall,Test_F1-Score
Mutual Information,XGBoost,0.9803407761310453,0.9805710714394504,0.9803407761310453,0.9802451624751202,0.9905385735080058,0.9905629359390897,0.9905385735080058,0.9905223671651887
Mutual Information,KNN,0.9862675507020281,0.9863302122078398,0.9862675507020281,0.986231765966826,0.9890829694323144,0.9890788684225095,0.9890829694323144,0.9890803439648678
RFE (LogReg),KNN,0.9831469383775351,0.9832469619283668,0.9831469383775351,0.9830936274974406,0.9890829694323144,0.9890852680341352,0.9890829694323144,0.98906968927982
RFE (LogReg),XGBoost,0.979716263650546,0.9797536218440055,0.979716263650546,0.979659494049163,0.987627365356623,0.9877963088350908,0.987627365356623,0.9875809012457595
RFE (LogReg),SVM_RBF,0.9790888260530421,0.9793163346655079,0.9790888260530421,0.979016048287636,0.9861717612809315,0.9862782003206827,0.9861717612809315,0.9861270103808456
Mutual Information,SVM_RBF,0.9706635140405616,0.9709243600393298,0.9706635140405616,0.9704943488204938,0.9810771470160117,0.9815151318145254,0.9810771470160117,0.9809605189878664
ANOVA F-test,XGBoost,0.9681698517940717,0.9684285310192072,0.9681698517940717,0.9679617524296326,0.9767103347889374,0.9769354055628539,0.9767103347889374,0.976592055599597
RFE (LogReg),LogisticRegression,0.9928212753510139,0.9928482619465351,0.9928212753510139,0.9928268403617532,0.975254730713246,0.9752353840015835,0.975254730713246,0.9752427940271386
Mutual Information,RandomForest,0.9719154641185648,0.9727270658674506,0.9719154641185648,0.971645510085058,0.9745269286754003,0.9751193811616337,0.9745269286754003,0.9743345488058659
RFE (LogReg),RandomForest,0.970664976599064,0.9712772498713459,0.970664976599064,0.9704225088850972,0.9730713245997089,0.9736399736435991,0.9730713245997089,0.9728679515947724
Mutual Information,LogisticRegression,0.9678558892355694,0.9679057649196714,0.9678558892355694,0.9678700995110958,0.9723435225618632,0.9724139049764146,0.9723435225618632,0.9723697425319686
ANOVA F-test,RandomForest,0.9360233034321374,0.9387978916245681,0.9360233034321374,0.9347355044019588,0.9475982532751092,0.9500001398597182,0.9475982532751092,0.9467070007393641
ANOVA F-test,LogisticRegression,0.9266565912636505,0.927800130861755,0.9266565912636505,0.9269535239827098,0.9403202328966521,0.9408058844539057,0.9403202328966521,0.9404860219243926
ANOVA F-test,SVM_RBF,0.9123015795631826,0.9134663716501299,0.9123015795631826,0.9108344628412371,0.9410480349344978,0.9421879834200548,0.9410480349344978,0.9402531789553981
Chi-Square,LogisticRegression,0.9241580538221529,0.9255298732565456,0.9241580538221529,0.9244971943575038,0.9323144104803494,0.9322829253082983,0.9323144104803494,0.93229813258218
ANOVA F-test,KNN,0.9044949297971918,0.9058510032301894,0.9044949297971918,0.9026457901091357,0.9286754002911208,0.9289139838932932,0.9286754002911208,0.9279094403186715
Chi-Square,XGBoost,0.9653622269890796,0.9657730605572441,0.9653622269890796,0.9650860003259771,0.6513828238719068,0.7730939225347031,0.6513828238719068,0.5153803960888432
Chi-Square,KNN,0.9044949297971918,0.9058510032301894,0.9044949297971918,0.9026457901091357,0.6506550218340611,0.7727858226495387,0.6506550218340611,0.5137076655959605
Chi-Square,SVM_RBF,0.9123015795631826,0.9134663716501299,0.9123015795631826,0.9108344628412371,0.6499272197962155,0.42240539103203817,0.6499272197962155,0.51202911978652
Chi-Square,RandomForest,0.9363358034321372,0.9390822890880758,0.9363358034321372,0.9350580976662369,0.6499272197962155,0.42240539103203817,0.6499272197962155,0.51202911978652
